instance,source,n,m,planar,read_ms,planarity_ms
gen_1,gen,500,1200,1,1,0
gen_2,gen,500,1200,1,0,0
gen_3,gen,500,1200,1,0,0
gen_4,gen,500,1200,1,0,0
gen_5,gen,500,1200,1,0,0
gen_6,gen,500,1200,1,0,0
gen_7,gen,500,1200,1,0,0
gen_8,gen,500,1200,1,0,0
gen_9,gen,500,1200,1,0,0
gen_10,gen,500,1200,1,0,0
gen_11,gen,500,1200,1,0,0
gen_12,gen,500,1200,1,0,0
gen_13,gen,500,1200,1,0,0
gen_14,gen,500,1200,1,0,0
gen_15,gen,500,1200,1,0,0
gen_16,gen,500,1200,1,0,0
gen_17,gen,500,1200,1,0,0
gen_18,gen,500,1200,1,0,0
gen_19,gen,500,1200,1,0,0
gen_20,gen,500,1200,1,0,0
gen_21,gen,500,1200,1,0,0
gen_22,gen,500,1200,1,0,0
gen_23,gen,500,1200,1,0,0
gen_24,gen,500,1200,1,0,0
gen_25,gen,500,1200,1,0,0
gen_26,gen,500,1200,1,0,0
gen_27,gen,500,1200,1,0,0
gen_28,gen,500,1200,1,0,0
gen_29,gen,500,1200,1,0,0
gen_30,gen,500,1200,1,0,0
gen_31,gen,500,1200,1,0,0
gen_32,gen,500,1200,1,0,0
gen_33,gen,500,1200,1,0,0
gen_34,gen,500,1200,1,0,0
gen_35,gen,500,1200,1,0,0
gen_36,gen,500,1200,1,0,0
gen_37,gen,500,1200,1,0,0
gen_38,gen,500,1200,1,0,0
gen_39,gen,500,1200,1,0,0
gen_40,gen,500,1200,1,0,0
gen_41,gen,500,1200,1,0,0
gen_42,gen,500,1200,1,0,0
gen_43,gen,500,1200,1,0,0
gen_44,gen,500,1200,1,0,0
gen_45,gen,500,1200,1,0,0
gen_46,gen,500,1200,1,0,0
gen_47,gen,500,1200,1,0,0
gen_48,gen,500,1200,1,0,0
gen_49,gen,500,1200,1,0,0
gen_50,gen,500,1200,1,0,0
gen_51,gen,500,1200,1,0,0
gen_52,gen,500,1200,1,0,0
gen_53,gen,500,1200,1,0,0
gen_54,gen,500,1200,1,0,0
gen_55,gen,500,1200,1,0,0
gen_56,gen,500,1200,1,0,0
gen_57,gen,500,1200,1,0,0
gen_58,gen,500,1200,1,0,0
gen_59,gen,500,1200,1,0,0
gen_60,gen,500,1200,1,0,0
gen_61,gen,500,1200,1,0,0
gen_62,gen,500,1200,1,0,0
gen_63,gen,500,1200,1,0,0
gen_64,gen,500,1200,1,0,0
gen_65,gen,500,1200,1,0,0
gen_66,gen,500,1200,1,0,0
gen_67,gen,500,1200,1,0,0
gen_68,gen,500,1200,1,0,0
gen_69,gen,500,1200,1,0,0
gen_70,gen,500,1200,1,0,0
gen_71,gen,500,1200,1,0,0
gen_72,gen,500,1200,1,0,0
gen_73,gen,500,1200,1,0,0
gen_74,gen,500,1200,1,0,0
gen_75,gen,500,1200,1,0,0
gen_76,gen,500,1200,1,0,0
gen_77,gen,500,1200,1,0,0
gen_78,gen,500,1200,1,0,0
gen_79,gen,500,1200,1,0,0
gen_80,gen,500,1200,1,0,0
gen_81,gen,500,1200,1,0,0
gen_82,gen,500,1200,1,0,0
gen_83,gen,500,1200,1,0,0
gen_84,gen,500,1200,1,0,0
gen_85,gen,500,1200,1,0,0
gen_86,gen,500,1200,1,0,0
gen_87,gen,500,1200,1,0,0
gen_88,gen,500,1200,1,0,0
gen_89,gen,500,1200,1,0,0
gen_90,gen,500,1200,1,0,0
gen_91,gen,500,1200,1,0,0
gen_92,gen,500,1200,1,0,0
gen_93,gen,500,1200,1,0,0
gen_94,gen,500,1200,1,0,0
gen_95,gen,500,1200,1,0,0
gen_96,gen,500,1200,1,0,0
gen_97,gen,500,1200,1,0,0
gen_98,gen,500,1200,1,0,0
gen_99,gen,500,1200,1,0,0
gen_100,gen,500,1200,1,0,0
gen_101,gen,500,1200,1,0,0
gen_102,gen,500,1200,1,0,0
gen_103,gen,500,1200,1,0,0
gen_104,gen,500,1200,1,0,0
gen_105,gen,500,1200,1,0,0
gen_106,gen,500,1200,1,0,0
gen_107,gen,500,1200,1,0,0
gen_108,gen,500,1200,1,0,0
gen_109,gen,500,1200,1,0,0
gen_110,gen,500,1200,1,0,0
gen_111,gen,500,1200,1,0,0
gen_112,gen,500,1200,1,0,0
gen_113,gen,500,1200,1,0,0
gen_114,gen,500,1200,1,0,0
gen_115,gen,500,1200,1,0,0
gen_116,gen,500,1200,1,0,0
gen_117,gen,500,1200,1,0,0
gen_118,gen,500,1200,1,0,0
gen_119,gen,500,1200,1,0,0
gen_120,gen,500,1200,1,0,0
gen_121,gen,500,1200,1,0,0
gen_122,gen,500,1200,1,0,0
gen_123,gen,500,1200,1,0,0
gen_124,gen,500,1200,1,0,0
gen_125,gen,500,1200,1,0,0
gen_126,gen,500,1200,1,0,0
gen_127,gen,500,1200,1,0,0
gen_128,gen,500,1200,1,0,0
gen_129,gen,500,1200,1,0,0
gen_130,gen,500,1200,1,0,0
gen_131,gen,500,1200,1,0,0
gen_132,gen,500,1200,1,0,0
gen_133,gen,500,1200,1,0,0
gen_134,gen,500,1200,1,0,0
gen_135,gen,500,1200,1,0,0
gen_136,gen,500,1200,1,0,0
gen_137,gen,500,1200,1,0,0
gen_138,gen,500,1200,1,0,0
gen_139,gen,500,1200,1,0,0
gen_140,gen,500,1200,1,0,0
gen_141,gen,500,1200,1,0,0
gen_142,gen,500,1200,1,0,0
gen_143,gen,500,1200,1,0,0
gen_144,gen,500,1200,1,0,0
gen_145,gen,500,1200,1,0,0
gen_146,gen,500,1200,1,0,0
gen_147,gen,500,1200,1,0,0
gen_148,gen,500,1200,1,0,0
gen_149,gen,500,1200,1,0,0
gen_150,gen,500,1200,1,0,0
gen_151,gen,500,1200,1,0,0
gen_152,gen,500,1200,1,0,0
gen_153,gen,500,1200,1,0,0
gen_154,gen,500,1200,1,0,0
gen_155,gen,500,1200,1,0,0
gen_156,gen,500,1200,1,0,0
gen_157,gen,500,1200,1,0,0
gen_158,gen,500,1200,1,0,0
gen_159,gen,500,1200,1,0,0
gen_160,gen,500,1200,1,0,0
gen_161,gen,500,1200,1,0,0
gen_162,gen,500,1200,1,0,0
gen_163,gen,500,1200,1,0,0
gen_164,gen,500,1200,1,0,0
gen_165,gen,500,1200,1,0,0
gen_166,gen,500,1200,1,0,0
gen_167,gen,500,1200,1,0,0
gen_168,gen,500,1200,1,0,0
gen_169,gen,500,1200,1,0,0
gen_170,gen,500,1200,1,0,0
gen_171,gen,500,1200,1,0,0
gen_172,gen,500,1200,1,0,0
gen_173,gen,500,1200,1,0,0
gen_174,gen,500,1200,1,0,0
gen_175,gen,500,1200,1,0,0
gen_176,gen,500,1200,1,0,0
gen_177,gen,500,1200,1,0,0
gen_178,gen,500,1200,1,0,0
gen_179,gen,500,1200,1,0,0
gen_180,gen,500,1200,1,0,0
gen_181,gen,500,1200,1,0,0
gen_182,gen,500,1200,1,0,0
gen_183,gen,500,1200,1,0,0
gen_184,gen,500,1200,1,0,0
gen_185,gen,500,1200,1,0,0
gen_186,gen,500,1200,1,0,0
gen_187,gen,500,1200,1,0,0
gen_188,gen,500,1200,1,0,0
gen_189,gen,500,1200,1,0,0
gen_190,gen,500,1200,1,0,0
gen_191,gen,500,1200,1,0,0
gen_192,gen,500,1200,1,0,0
gen_193,gen,500,1200,1,0,0
gen_194,gen,500,1200,1,0,0
gen_195,gen,500,1200,1,0,0
gen_196,gen,500,1200,1,0,0
gen_197,gen,500,1200,1,0,0
gen_198,gen,500,1200,1,0,0
gen_199,gen,500,1200,1,0,0
gen_200,gen,500,1200,1,0,0
