instance,source,n,m,planar,read_ms,planarity_ms
/home/mateu/benchmarks/rome/rome/grafo2107.31.graphml,file,31,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1357.52.graphml,file,52,57,1,0,0
/home/mateu/benchmarks/rome/rome/grafo805.13.graphml,file,13,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1494.50.graphml,file,50,57,1,0,0
/home/mateu/benchmarks/rome/rome/grafo300.13.graphml,file,13,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5988.37.graphml,file,37,47,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1179.17.graphml,file,17,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2293.13.graphml,file,13,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1574.29.graphml,file,29,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6453.49.graphml,file,49,56,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1056.17.graphml,file,17,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo818.13.graphml,file,13,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1578.27.graphml,file,27,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo408.11.graphml,file,11,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo233.11.graphml,file,11,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1061.11.graphml,file,11,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo417.13.graphml,file,13,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo766.12.graphml,file,12,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1675.19.graphml,file,19,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1269.26.graphml,file,26,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo422.17.graphml,file,17,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo586.10.graphml,file,10,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo244.20.graphml,file,20,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2131.19.graphml,file,19,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo220.13.graphml,file,13,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6501.40.graphml,file,40,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5993.38.graphml,file,38,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1120.10.graphml,file,10,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5641.37.graphml,file,37,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6990.46.graphml,file,46,56,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11401.33.graphml,file,33,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo602.15.graphml,file,15,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1566.58.graphml,file,58,62,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2610.17.graphml,file,17,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3966.38.graphml,file,38,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2905.47.graphml,file,47,52,1,0,0
/home/mateu/benchmarks/rome/rome/grafo383.12.graphml,file,12,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1684.19.graphml,file,19,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo629.14.graphml,file,14,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1126.10.graphml,file,10,9,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1899.23.graphml,file,23,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo453.12.graphml,file,12,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1009.17.graphml,file,17,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1572.26.graphml,file,26,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo738.12.graphml,file,12,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9858.34.graphml,file,34,45,1,0,0
/home/mateu/benchmarks/rome/rome/grafo718.10.graphml,file,10,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2903.15.graphml,file,15,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2862.17.graphml,file,17,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2607.12.graphml,file,12,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3873.41.graphml,file,41,51,1,0,0
/home/mateu/benchmarks/rome/rome/grafo488.25.graphml,file,25,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1207.29.graphml,file,29,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2707.12.graphml,file,12,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3091.11.graphml,file,11,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1242.29.graphml,file,29,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1321.25.graphml,file,25,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2180.27.graphml,file,27,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11576.34.graphml,file,34,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1006.11.graphml,file,11,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7112.47.graphml,file,47,61,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1030.15.graphml,file,15,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2540.22.graphml,file,22,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo531.17.graphml,file,17,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2714.11.graphml,file,11,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5782.36.graphml,file,36,43,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1114.24.graphml,file,24,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1419.47.graphml,file,47,57,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11121.32.graphml,file,32,41,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6015.39.graphml,file,39,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1064.21.graphml,file,21,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3478.45.graphml,file,45,53,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1709.13.graphml,file,13,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo836.10.graphml,file,10,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2823.17.graphml,file,17,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo683.22.graphml,file,22,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1901.20.graphml,file,20,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo690.11.graphml,file,11,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5442.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2998.18.graphml,file,18,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2422.20.graphml,file,20,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1323.26.graphml,file,26,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1199.27.graphml,file,27,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2402.36.graphml,file,36,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo130.31.graphml,file,31,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1660.19.graphml,file,19,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo4048.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2377.15.graphml,file,15,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6605.46.graphml,file,46,57,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1818.26.graphml,file,26,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1592.27.graphml,file,27,31,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3098.18.graphml,file,18,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5288.36.graphml,file,36,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10085.35.graphml,file,35,41,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2407.33.graphml,file,33,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo595.13.graphml,file,13,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11449.36.graphml,file,36,43,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1415.58.graphml,file,58,65,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3358.36.graphml,file,36,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5803.45.graphml,file,45,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo508.20.graphml,file,20,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2592.12.graphml,file,12,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo920.24.graphml,file,24,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo334.12.graphml,file,12,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo396.15.graphml,file,15,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo427.26.graphml,file,26,34,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1919.21.graphml,file,21,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo951.13.graphml,file,13,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3065.17.graphml,file,17,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo412.23.graphml,file,23,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5718.46.graphml,file,46,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11341.33.graphml,file,33,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2467.16.graphml,file,16,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2413.16.graphml,file,16,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2434.21.graphml,file,21,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2439.12.graphml,file,12,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2060.25.graphml,file,25,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1869.31.graphml,file,31,33,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3228.40.graphml,file,40,53,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2609.15.graphml,file,15,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2492.34.graphml,file,34,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3071.23.graphml,file,23,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo948.15.graphml,file,15,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5668.37.graphml,file,37,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1068.12.graphml,file,12,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6552.45.graphml,file,45,54,1,0,0
/home/mateu/benchmarks/rome/rome/grafo322.16.graphml,file,16,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2059.42.graphml,file,42,52,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1924.16.graphml,file,16,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1771.22.graphml,file,22,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3847.35.graphml,file,35,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1062.15.graphml,file,15,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2006.25.graphml,file,25,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3872.35.graphml,file,35,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo458.14.graphml,file,14,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7590.43.graphml,file,43,54,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2651.12.graphml,file,12,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11603.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1740.10.graphml,file,10,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5961.33.graphml,file,33,41,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10402.40.graphml,file,40,47,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1341.25.graphml,file,25,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1133.18.graphml,file,18,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo371.14.graphml,file,14,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo160.30.graphml,file,30,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7500.53.graphml,file,53,65,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3076.34.graphml,file,34,39,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6313.37.graphml,file,37,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1891.18.graphml,file,18,19,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2029.31.graphml,file,31,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1692.16.graphml,file,16,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1017.15.graphml,file,15,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2134.24.graphml,file,24,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo746.13.graphml,file,13,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo526.12.graphml,file,12,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5213.31.graphml,file,31,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3644.44.graphml,file,44,54,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2979.11.graphml,file,11,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo587.10.graphml,file,10,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo188.23.graphml,file,23,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo751.11.graphml,file,11,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3765.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1662.14.graphml,file,14,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo820.18.graphml,file,18,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2328.28.graphml,file,28,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2730.15.graphml,file,15,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo308.14.graphml,file,14,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2615.17.graphml,file,17,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7710.37.graphml,file,37,48,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1292.28.graphml,file,28,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7114.40.graphml,file,40,49,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5875.37.graphml,file,37,44,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3352.55.graphml,file,55,69,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2173.21.graphml,file,21,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1705.19.graphml,file,19,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2213.20.graphml,file,20,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2324.17.graphml,file,17,21,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3106.32.graphml,file,32,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3007.27.graphml,file,27,30,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1674.12.graphml,file,12,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo505.13.graphml,file,13,12,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9878.34.graphml,file,34,39,1,0,0
/home/mateu/benchmarks/rome/rome/grafo278.12.graphml,file,12,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo394.11.graphml,file,11,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5570.37.graphml,file,37,49,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1608.28.graphml,file,28,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6799.36.graphml,file,36,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2196.16.graphml,file,16,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo950.19.graphml,file,19,23,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2471.14.graphml,file,14,16,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10025.31.graphml,file,31,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9989.32.graphml,file,32,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10512.36.graphml,file,36,42,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2387.29.graphml,file,29,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11214.40.graphml,file,40,52,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1562.49.graphml,file,49,55,1,0,0
/home/mateu/benchmarks/rome/rome/grafo753.26.graphml,file,26,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1088.11.graphml,file,11,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo6576.49.graphml,file,49,58,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2240.12.graphml,file,12,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1928.23.graphml,file,23,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1095.11.graphml,file,11,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11511.35.graphml,file,35,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1882.19.graphml,file,19,22,1,0,0
/home/mateu/benchmarks/rome/rome/grafo11512.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3037.23.graphml,file,23,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9919.32.graphml,file,32,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo10938.33.graphml,file,33,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo901.21.graphml,file,21,24,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2619.15.graphml,file,15,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo4949.56.graphml,file,56,66,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3754.40.graphml,file,40,45,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1363.29.graphml,file,29,38,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2727.33.graphml,file,33,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3380.46.graphml,file,46,56,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1864.18.graphml,file,18,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo932.28.graphml,file,28,35,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2386.28.graphml,file,28,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2583.16.graphml,file,16,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo749.11.graphml,file,11,10,1,0,0
/home/mateu/benchmarks/rome/rome/grafo267.11.graphml,file,11,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2435.18.graphml,file,18,26,1,0,0
/home/mateu/benchmarks/rome/rome/grafo4306.56.graphml,file,56,63,1,0,0
/home/mateu/benchmarks/rome/rome/grafo4047.41.graphml,file,41,48,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1996.26.graphml,file,26,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2721.27.graphml,file,27,27,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1612.29.graphml,file,29,32,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2838.36.graphml,file,36,41,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3548.42.graphml,file,42,50,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3168.39.graphml,file,39,51,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1387.56.graphml,file,56,70,1,0,0
/home/mateu/benchmarks/rome/rome/grafo7015.45.graphml,file,45,53,1,0,0
/home/mateu/benchmarks/rome/rome/grafo644.14.graphml,file,14,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2926.14.graphml,file,14,14,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5153.33.graphml,file,33,40,1,0,0
/home/mateu/benchmarks/rome/rome/grafo9920.38.graphml,file,38,46,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2341.24.graphml,file,24,29,1,0,0
/home/mateu/benchmarks/rome/rome/grafo5855.34.graphml,file,34,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2587.24.graphml,file,24,28,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2181.41.graphml,file,41,52,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3770.42.graphml,file,42,51,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1219.44.graphml,file,44,48,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2442.14.graphml,file,14,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1866.11.graphml,file,11,17,1,0,0
/home/mateu/benchmarks/rome/rome/grafo159.24.graphml,file,24,25,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2880.16.graphml,file,16,18,1,0,0
/home/mateu/benchmarks/rome/rome/grafo189.30.graphml,file,30,36,1,0,0
/home/mateu/benchmarks/rome/rome/grafo954.12.graphml,file,12,11,1,0,0
/home/mateu/benchmarks/rome/rome/grafo2440.16.graphml,file,16,20,1,0,0
/home/mateu/benchmarks/rome/rome/grafo1255.32.graphml,file,32,37,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3663.36.graphml,file,36,41,1,0,0
/home/mateu/benchmarks/rome/rome/grafo403.14.graphml,file,14,15,1,0,0
/home/mateu/benchmarks/rome/rome/grafo801.13.graphml,file,13,13,1,0,0
/home/mateu/benchmarks/rome/rome/grafo3425.41.graphml,file,41,52,1,0,0
